Theme,Ticker,Company,Reason,Direction,Role
Space,ASTS,AST SpaceMobile,Direct-to-handset satellite model with major carrier partners; successful test satellites create upside if execution and financing risks are managed.,Long,High-beta
Space,RKLB,Rocket Lab,"Most credible commercial small-launch provider after SpaceX, with a growing manifest and Neutron in development, leveraged to rising launch demand.",Long,Core
Space,LHX,L3Harris,"Defense and space systems prime with recurring government contracts, providing cash-flow stability to balance higher-beta pure-play space names.",Long,Core
Space,LMT,Lockheed Martin,"Major defense prime with significant space segment exposure via missiles, satellites and launch partnerships, providing a stable cash-flow anchor in the theme.",Long,Defensive
Space,NOC,Northrop Grumman,"Key contractor for national-security space and missile-defense programs, giving exposure to government space budgets with strong balance sheet and backlog.",Long,Defensive
Space,KTOS,Kratos Defense & Security,"Specialized defense and space contractor focused on drones and satellite communications, offering higher growth but more execution risk than large primes.",Long,High-beta
Space,SPCE,Virgin Galactic,Tourism-only model with minimal revenue and high cash burn; a classic concept stock to short versus profitable aerospace and defense names.,Short,High-beta
Space,DXYZ,Destiny Tech 100,Broad tech exposure vehicle sometimes traded as a speculative proxy for innovation themes; not a pure space play and can be shorted as a froth indicator.,Short,High-beta
Space,USAR,U.S. Antimony,"Identified as a critical domestic supplier of antimony, a strategic mineral essential for munitions, night-vision, and infrared sensors in defense/space applications.",Long,High-beta
Space,PLTR,Palantir,Clarified its specific role in Space as a provider of Data-as-a-Service (Warp Core) to the U.S. Space Force for satellite command and control.,Long,High-beta
Space,LUNR,Intuitive Machines,"Lunar services and lander business with binary contract outcomes and limited diversification, appropriate as a speculative short against core holdings.",Short,High-beta
LEO Satellites,IRDM,Iridium Communications,Global satellite comms with operational LEO constellation.,Long,Core
LEO Satellites,GSAT,Globalstar,Satellite voice/data services provider.,Long,High-beta
LEO Satellites,ASTS,AST SpaceMobile,Direct-to-cell satellite broadband network.,Long,High-beta
LEO Satellites,SPIR,Spire Global,Data analytics via LEO satellite constellation (weather/tracking).,Long,High-beta
LEO Satellites,SATL,Satellogic,High-resolution earth observation imagery.,Long,High-beta
LEO Satellites,AMZN,Amazon,Project Kuiper LEO broadband constellation.,Long,Core
LEO Satellites,MSFT,Microsoft,Azure Space integrating satellite connectivity.,Long,Core
LEO Satellites,AAPL,Apple,Satellite connectivity for iPhone emergency services.,Long,Core
LEO Satellites,TSLA,Tesla,SpaceX (Starlink) connection; operates massive LEO internet constellation.,Long,Core
LEO Satellites,RKLB,Rocket Lab,Launch provider and space systems; competitor to SpaceX.,Long,Core
